[14-May-2015 06:46:11 UTC] PHP Fatal error:  Cannot redeclare encrypt_e() (previously declared in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php:3) in /var/www/html/wp-content/plugins/paytm/encdec_paytm.php on line 3
[14-May-2015 06:59:47 UTC] PHP Fatal error:  Call to undefined function function_exist() in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 2
[14-May-2015 07:02:52 UTC] PHP Fatal error:  Call to undefined function function_exist() in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 2
[14-May-2015 07:03:41 UTC] PHP Notice:  Use of undefined constant encrypt_e - assumed 'encrypt_e' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 2
[14-May-2015 07:03:41 UTC] PHP Notice:  Use of undefined constant decrypt_e - assumed 'decrypt_e' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 19
[14-May-2015 07:03:41 UTC] PHP Notice:  Use of undefined constant pkcs5_pad_e - assumed 'pkcs5_pad_e' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 35
[14-May-2015 07:03:41 UTC] PHP Notice:  Use of undefined constant pkcs5_unpad_e - assumed 'pkcs5_unpad_e' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 42
[14-May-2015 07:03:41 UTC] PHP Notice:  Use of undefined constant generateSalt_e - assumed 'generateSalt_e' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 50
[14-May-2015 07:03:41 UTC] PHP Notice:  Use of undefined constant checkString_e - assumed 'checkString_e' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 67
[14-May-2015 07:03:41 UTC] PHP Notice:  Use of undefined constant getChecksumFromArray - assumed 'getChecksumFromArray' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 76
[14-May-2015 07:03:41 UTC] PHP Notice:  Use of undefined constant verifychecksum_e - assumed 'verifychecksum_e' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 90
[14-May-2015 07:03:41 UTC] PHP Notice:  Use of undefined constant getArray2Str - assumed 'getArray2Str' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 112
[14-May-2015 07:03:41 UTC] PHP Notice:  Use of undefined constant redirect2PG - assumed 'redirect2PG' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 127
[14-May-2015 07:03:41 UTC] PHP Notice:  Use of undefined constant removeCheckSumParam - assumed 'removeCheckSumParam' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 134
[14-May-2015 07:03:41 UTC] PHP Notice:  Use of undefined constant getTxnStatus - assumed 'getTxnStatus' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 142
[14-May-2015 07:03:41 UTC] PHP Notice:  Use of undefined constant initiateTxnRefund - assumed 'initiateTxnRefund' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 148
[14-May-2015 07:03:41 UTC] PHP Notice:  Use of undefined constant callAPI - assumed 'callAPI' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 156
[14-May-2015 07:04:42 UTC] PHP Notice:  Use of undefined constant encrypt_e - assumed 'encrypt_e' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 2
[14-May-2015 07:04:42 UTC] PHP Notice:  Use of undefined constant decrypt_e - assumed 'decrypt_e' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 19
[14-May-2015 07:04:42 UTC] PHP Notice:  Use of undefined constant pkcs5_pad_e - assumed 'pkcs5_pad_e' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 35
[14-May-2015 07:04:42 UTC] PHP Notice:  Use of undefined constant pkcs5_unpad_e - assumed 'pkcs5_unpad_e' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 42
[14-May-2015 07:04:42 UTC] PHP Notice:  Use of undefined constant generateSalt_e - assumed 'generateSalt_e' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 50
[14-May-2015 07:04:42 UTC] PHP Notice:  Use of undefined constant checkString_e - assumed 'checkString_e' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 67
[14-May-2015 07:04:42 UTC] PHP Notice:  Use of undefined constant getChecksumFromArray - assumed 'getChecksumFromArray' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 76
[14-May-2015 07:04:42 UTC] PHP Notice:  Use of undefined constant verifychecksum_e - assumed 'verifychecksum_e' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 90
[14-May-2015 07:04:42 UTC] PHP Notice:  Use of undefined constant getArray2Str - assumed 'getArray2Str' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 112
[14-May-2015 07:04:42 UTC] PHP Notice:  Use of undefined constant redirect2PG - assumed 'redirect2PG' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 127
[14-May-2015 07:04:42 UTC] PHP Notice:  Use of undefined constant removeCheckSumParam - assumed 'removeCheckSumParam' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 134
[14-May-2015 07:04:42 UTC] PHP Notice:  Use of undefined constant getTxnStatus - assumed 'getTxnStatus' in /var/www/html/wp-content/themes/flatsome-gh/pg/PaytmKit/lib/encdec_paytm.php on line 142
